Question,Answer
What street do DJ and Marie live on?,Columbus
What park did DJ and Marie get married in?,Tilden
DJ and Marie met during their ___ year at Cal.,Junior
What’s Marie and DJ’s favorite vacation ever?,Oahu
What day of the week is reserved for date nights with DJ and Marie?,Thursday
What was DJ and Marie’s first official date?,Symphony
What month did Marie and DJ meet?,September
“Penny Rabbit and ______” was DJ and Marie’s first dance song.,SummerBear
DJ and Marie stayed at this hotel after getting married.,Claremont
DJ and Marie’s favorite country from their honeymoon.,Vietnam
What food do DJ and Marie eat every weekend together?,Acai